50指数太不争气。,2016-08-02 14:41
天天绿帽？不像话！,2016-08-02 14:08
今天领跌的就是上证50，创业板都涨,2016-08-02 13:52
垃圾又是领跌,2016-08-02 11:27
怀疑护盘资金在悄悄撤！,2016-08-02 11:17
主力还在出货！,2016-08-02 11:16
指数连续调整后早盘运行轨迹将对2985点一带展开反抽,2016-08-02 10:56
金融大盘中券商可分笔建仓了，银行坏帐多、保险因天灾,2016-08-01 12:56
如果说中小创不值得投资，干嘛还开那个板啊，以后发新,2016-01-16 14:53
拼老命了拉50护盘啊，不护中小创，一样最后给你拉下马,2016-01-16 14:51
为什么上证50l红盘，其它均大跌？,2016-01-16 14:43
大博杀！,2016-01-16 14:33
这是一个大坑,2016-01-16 13:34
国家以进場,2016-01-13 14:37
怪不得雾霾这么大，原来是垃圾上天了。你上你的、我看,2016-01-13 11:15
[鼓掌],2016-01-13 09:33
主力阴谋,2016-01-12 10:38
港股巳漲二周,2016-01-12 10:03
美英德创新高,2016-01-12 10:03
该死的上证50，涨和跌都高一角,2016-01-11 14:47
无量寿佛,2016-01-11 10:49
无量,2016-01-10 14:22
今不跌明必跌,2016-01-10 14:01
无聊,2016-01-10 13:26
勉为其难,2016-01-10 13:07
随时跳水,2016-01-10 13:05
明天再出一天货！后天瀑跌[大笑][大笑][大笑],2016-01-06 14:14
强拉,2016-01-05 11:13
主力自拉自唱,2016-01-05 11:09
无人跟风,2016-01-05 11:09
缩量,2016-01-05 11:08
回抽末到位观望,2016-01-05 11:05
已五连阳,2016-01-05 09:50
期指已显疲态,2016-01-04 13:55
出货,2016-01-04 13:45
反弹到位,2016-01-04 13:37
垃圾怎么走的？,2016-12-29 14:38
预计国际原油价格07年上半年将恢复到70美元，至少是65,2016-12-29 14:22
國家隊保證守住3100,2016-12-29 11:05
垃圾看期指脸色走,2016-12-29 10:46
垃圾又领跌！,2016-12-29 10:34
天天跌,2016-12-29 09:54
期指都涨了,2016-12-28 13:54
垃圾拖后腿,2016-12-28 13:53
主力还想砸,2016-12-28 13:27
民心思涨……盘整打压更利今后强力反弹！资金面近期有,2016-12-28 13:22
垃圾领跌！,2016-12-28 13:08
让股民过个好年,2016-12-28 11:12
主力加油砸！,2016-12-28 11:11
天天跌？,2016-12-28 10:57
主力砸盘不止！,2016-12-28 10:45
大阴收年线！,2016-12-28 10:44
股灾又来逃命！,2016-12-26 09:34
主力疯狂砸盘挖坑！,2016-12-26 09:31
唯一可赞，加油发新！,2016-12-26 09:28
美股连漲七周！哀股连跌五周！,2016-12-26 09:25
主力阴谋砸盘不止,2016-12-23 13:56
早盘前30分钟资金买入上亿个股000009中国宝安,2016-12-23 10:09
今天拉中石油掩护银行股出货！庄家套路深！,2016-12-21 14:40
